Código Nacional|Nombre Estación|Comuna|Región|Latitud|Longitud|Organismo|Datos Desde|Datos Hasta
170001|Visviri Tenencia|General Lagos|Arica y Parinacota|-17.594999|-69.477499|Dirección Meteorológica de Chile|2013|2020
170007|Visviri INIA|General Lagos|Arica y Parinacota|-17.594721|-69.475277|Instituto de Investigación Agropecuaria|2019|2023
180005|Chacalluta, Arica Ap.|Arica|Arica y Parinacota|-18.355555|-70.340277|Dirección Meteorológica de Chile|1955|2023
180013|El Buitre Arica Ad.|Arica|Arica y Parinacota|-18.508611|-70.287221|Dirección Meteorológica de Chile|1952|1973
180017|Putre|Putre|Arica y Parinacota|-18.2|-69.5625|Dirección Meteorológica de Chile|2017|2023
180018|Defensa Civil, Arica|Arica|Arica y Parinacota|-18.49111|-70.301388|Dirección Meteorológica de Chile|2017|2023
180029|Putre INIA|Putre|Arica y Parinacota|-18.196944|-69.553888|Instituto de Investigación Agropecuaria|2019|2023
180030|Socoroma|Putre|Arica y Parinacota|-18.263888|-69.607777|Instituto de Investigación Agropecuaria|2019|2023
180031|Lago Chungará|Putre|Arica y Parinacota|-18.280832|-69.138055|Instituto de Investigación Agropecuaria|2019|2023
180032|Lluta Alto|Arica|Arica y Parinacota|-18.39361|-69.963333|Instituto de Investigación Agropecuaria|2020|2023
180033|Lluta Bajo|Arica|Arica y Parinacota|-18.413611|-70.206111|Instituto de Investigación Agropecuaria|2019|2023
180034|Lluta Medio|Arica|Arica y Parinacota|-18.452222|-70.067221|Instituto de Investigación Agropecuaria|2019|2023
180035|Belén INIA|Putre|Arica y Parinacota|-18.468332|-69.523332|Instituto de Investigación Agropecuaria|2019|2023
180036|Azapa Medio|Arica|Arica y Parinacota|-18.547777|-70.124721|Instituto de Investigación Agropecuaria|2019|2022
180037|Cerro Blanco|Arica|Arica y Parinacota|-18.574999|-70.069721|Instituto de Investigación Agropecuaria|2019|2023
180038|Ticnamar|Putre|Arica y Parinacota|-18.579999|-69.495833|Instituto de Investigación Agropecuaria|2019|2023
180039|Caleta Vitor|Arica|Arica y Parinacota|-18.781388|-70.283888|Instituto de Investigación Agropecuaria|2019|2023
180040|Chaca INIA|Arica|Arica y Parinacota|-18.81|-70.156111|Instituto de Investigación Agropecuaria|2019|2023
180041|Codpa|Camarones|Arica y Parinacota|-18.832499|-69.745555|Instituto de Investigación Agropecuaria|2019|2023
180042|Cerro Sombrero, Arica|Arica|Arica y Parinacota|-18.5125|-70.265555|Dirección Meteorológica de Chile|2017|2023
180043|Arica, Azapa1|Arica|Arica y Parinacota|-18.509722|-70.248055|Fundación para el Desarrollo Frutícola|2020|2023
180045|Pampa Concordia|Arica|Arica y Parinacota|-18.363055|-70.301944|Instituto de Investigación Agropecuaria|2020|2023
180046|Chapiquiña|Putre|Arica y Parinacota|-18.389444|-69.539444|Instituto de Investigación Agropecuaria|2020|2023
180047|Azapa Alto|Arica|Arica y Parinacota|-18.577499|-69.947221|Instituto de Investigación Agropecuaria|2020|2023
180048|Salar de Surire|Putre|Arica y Parinacota|-18.794721|-69.084444|Instituto de Investigación Agropecuaria|2020|2022
190009|Camarones|Camarones|Arica y Parinacota|-19.010555|-69.857222|Instituto de Investigación Agropecuaria|2019|2023
190011|Cuya|Camarones|Arica y Parinacota|-19.161944|-70.180832|Instituto de Investigación Agropecuaria|2020|2022
200003|Iquique, Cavancha Ap.|Iquique|Tarapacá|-20.23361|-70.143888|Dirección Meteorológica de Chile|1952|1981
200005|Iquique, Los Condores Ad.|Iquique|Tarapacá|-20.253888|-70.084999|Dirección Meteorológica de Chile|1952|1969
200006|Diego Aracena Iquique Ap.|Iquique|Tarapacá|-20.549166|-70.18111|Dirección Meteorológica de Chile|1981|2023
200007|La Huayca, Pozo Almonte|Pozo Almonte|Tarapacá|-20.421666|-69.627499|Dirección Meteorológica de Chile|2017|2019
200010|UNAP (Universidad Arturo Prat), Iquique|Iquique|Tarapacá|-20.270832|-70.130832|Dirección Meteorológica de Chile|2017|2023
200011|Pica Inia|Pica|Tarapacá|-20.501388|-69.342499|Instituto de Investigación Agropecuaria|2020|2023
210007|Ollagüe INIA|Ollague|Antofagasta|-21.223888|-68.255555|Instituto de Investigación Agropecuaria|2019|2023
210901|Ollagüe|Ollague|Antofagasta|-21.224166|-68.255833|Dirección Meteorológica de Chile|2016|2021
220002|El Loa, Calama Ad.|Calama|Antofagasta|-22.498055|-68.892499|Dirección Meteorológica de Chile|1965|2023
220022|Caspana|Calama|Antofagasta|-22.334444|-68.213611|Instituto de Investigación Agropecuaria|2019|2023
220023|Calama Rural|Calama|Antofagasta|-22.47111|-68.943055|Instituto de Investigación Agropecuaria|2019|2023
220024|San Pedro de Atacama INIA|San Pedro de Atacama|Antofagasta|-22.932221|-68.213333|Instituto de Investigación Agropecuaria|2019|2023
230001|Cerro Moreno  Antofagasta  Ap.|Antofagasta|Antofagasta|-23.453611|-70.445277|Dirección Meteorológica de Chile|1944|2023
230002|Universidad Católica del Norte, Antofagasta|Antofagasta|Antofagasta|-23.680832|-70.411111|Dirección Meteorológica de Chile|2016|2022
230004|Toconao|San Pedro de Atacama|Antofagasta|-23.18611|-68.005555|Dirección Meteorológica de Chile|2013|2022
230019|Toconao|San Pedro de Atacama|Antofagasta|-23.190555|-68.007222|Instituto de Investigación Agropecuaria|2019|2023
230020|Socaire|San Pedro de Atacama|Antofagasta|-23.590555|-67.889999|Instituto de Investigación Agropecuaria|2019|2022
230022|Mejillones|Mejillones|Antofagasta|-23.109166|-70.443333|Dirección Meteorológica de Chile|2019|2023
230023|Camar|San Pedro de Atacama|Antofagasta|-23.407222|-67.963611|Instituto de Investigación Agropecuaria|2020|2023
230024|Altos La Portada|Antofagasta|Antofagasta|-23.504166|-70.404722|Instituto de Investigación Agropecuaria|2020|2023
230905|Antofagasta, Oficina Meteorológica|Arica|Arica y Parinacota|-23.7|-70.4|Dirección Meteorológica de Chile|1941|1944
250005|Taltal|Antofagasta|Antofagasta|-25.411111|-70.484166|Dirección Meteorológica de Chile|2014|2023
250007|La Cachina|Taltal|Antofagasta|-25.433888|-70.453333|Instituto de Investigación Agropecuaria|2020|2023
260002|Chañaral  Ad.|Chañaral|Atacama|-26.332221|-70.610833|Dirección Meteorológica de Chile|1954|2002
260007|Isla San Felix|Juan Fernández|Valparaíso|-26.291388|-80.095277|Armada de Chile|2016|2023
260009|Falda Verde|Chañaral|Atacama|-26.299721|-70.624166|Instituto de Investigación Agropecuaria|2020|2022
270001|Mataveri  Isla de Pascua Ap.|Isla de Pascua|Valparaíso|-27.158888|-109.432499|Dirección Meteorológica de Chile|1954|2023
270002|Copiapó, Chamonate Ad.|Copiapó|Atacama|-27.299444|-70.414166|Dirección Meteorológica de Chile|1951|2013
270008|Desierto de Atacama, Caldera  Ad.|Caldera|Atacama|-27.254444|-70.78111|Dirección Meteorológica de Chile|2005|2023
270009|Copiapó Universidad de Atacama|Copiapó|Atacama|-27.358888|-70.353333|Dirección Meteorológica de Chile|2016|2023
270013|Amolana|Tierra Amarilla|Atacama|-27.959722|-70.01|Instituto de Investigación Agropecuaria|2019|2023
270015|Caldera R.B.|Caldera|Atacama|-27.075832|-70.82111|Dirección Meteorológica de Chile|2019|2019
